"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ300","IND310","INQ320"
"1",93703,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"2",93704,1,2,2,2,2,2,2,1,1,12,5,3,1,NA,1
"3",93705,2,1,1,2,2,2,2,2,2,2,0.49,1,2,3,1
"4",93706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",93707,1,2,1,2,2,1,2,2,2,11,2.2,3,2,1,1
"6",93708,2,2,2,1,1,2,2,2,2,5,1.46,2,1,NA,1
"7",93709,2,2,1,2,2,1,2,2,2,3,0.96,1,2,1,3
"8",93710,1,2,2,2,2,2,2,2,2,9,2.94,3,2,1,1
"9",93711,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"10",93712,1,2,2,2,2,2,2,2,2,4,0.76,1,2,1,1
"11",93713,2,2,1,2,2,2,2,2,2,7,2.99,3,2,1,1
"12",93714,1,2,2,2,2,2,2,2,2,6,1.29,1,2,2,1
"13",93715,2,1,1,2,1,1,1,2,2,6,0.9,1,2,1,1
"14",93716,1,2,2,2,2,2,2,1,2,11,4.11,3,1,NA,1
"15",93717,1,2,2,2,2,2,2,2,2,1,0,1,2,1,4
"16",93718,1,2,1,2,2,1,2,2,1,12,5,3,2,1,1
"17",93719,1,2,2,2,2,2,2,2,1,11,3.88,3,2,1,1
"18",93720,1,2,2,2,2,2,2,2,2,6,1.47,2,2,1,1
"19",93721,1,2,2,2,2,2,2,2,2,7,2.19,3,2,1,1
"20",93722,1,2,2,2,2,2,2,2,2,5,1.69,2,2,1,1
"21",93723,1,1,2,2,2,2,2,2,2,8,3.33,3,1,NA,1
"22",93724,1,2,1,2,2,1,2,2,2,5,0.46,1,2,1,1
"23",93725,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
"24",93726,1,2,1,2,1,2,2,2,2,4,1.48,2,2,1,1
"25",93727,1,2,1,2,2,2,2,1,2,8,2.92,3,1,NA,1
"26",93728,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"27",93729,1,2,1,2,2,1,2,2,2,3,0.87,1,2,1,1
"28",93730,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"29",93731,1,2,2,1,2,2,2,2,1,11,2.86,3,1,NA,1
"30",93732,2,2,1,2,2,2,2,2,2,3,1.13,1,2,1,1
"31",93733,1,1,2,2,2,2,1,1,2,8,1.26,1,2,1,1
"32",93734,1,1,2,2,2,2,2,2,1,10,3.29,3,1,NA,1
"33",93735,2,2,2,1,2,2,2,2,2,3,0.53,1,2,1,4
"34",93736,1,1,2,2,2,2,2,2,2,99,NA,9,2,99,1
"35",93737,1,2,2,2,2,2,2,2,2,4,0.87,1,2,1,3
"36",93738,1,2,2,2,1,2,2,2,2,8,1.46,2,2,1,1
"37",93739,1,2,2,2,2,2,2,2,2,6,1.15,1,2,1,1
"38",93740,2,2,2,2,2,1,2,2,2,2,0.74,1,2,1,3
"39",93741,1,2,2,2,2,2,2,2,2,12,4.89,3,1,NA,1
"40",93742,2,2,1,1,1,2,2,1,2,9,4.55,3,2,1,1
"41",93743,1,2,2,2,2,2,2,2,2,7,3.46,3,2,1,9
"42",93744,1,2,2,2,2,2,2,2,2,5,1.46,2,2,1,1
"43",93745,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
"44",93746,1,2,2,2,2,2,2,2,2,7,3.28,3,2,3,1
"45",93747,1,2,2,2,2,2,1,2,1,5,1,1,2,1,1
"46",93748,1,2,2,2,2,2,2,2,2,11,4.62,3,2,3,1
"47",93749,1,1,2,2,2,2,2,2,2,8,1.26,1,2,1,1
"48",93750,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"49",93751,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"50",93752,2,2,1,2,1,2,2,2,2,8,3.98,3,2,2,3
"51",93753,1,1,2,2,2,2,2,2,2,7,1.22,1,2,3,1
"52",93754,2,2,1,2,1,2,2,1,1,99,NA,1,2,2,1
"53",93755,1,2,2,2,2,2,2,2,2,6,2.19,3,2,1,1
"54",93756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",93757,2,2,1,1,1,2,2,2,2,7,2.44,3,2,1,1
"56",93758,2,2,2,2,2,1,2,2,2,3,0.81,1,2,1,4
"57",93759,1,2,2,2,2,2,2,2,2,77,NA,7,7,NA,1
"58",93760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",93761,1,2,2,2,2,2,2,2,2,2,0.31,1,2,1,1
"60",93762,2,2,1,2,1,2,1,2,2,3,1,1,2,1,2
"61",93763,1,2,2,2,2,2,2,1,2,11,3.41,3,1,NA,1
"62",93764,1,1,2,2,2,2,2,2,2,11,4.11,3,2,1,3
"63",93765,1,2,2,2,2,2,2,2,1,9,1.42,2,2,1,1
"64",93766,1,2,2,2,2,2,2,2,1,3,0.57,1,2,1,1
"65",93767,1,2,1,2,2,1,2,2,2,6,1.65,2,2,1,1
"66",93768,2,1,1,2,2,2,2,2,2,99,NA,3,1,NA,1
"67",93769,1,1,2,2,2,2,2,2,2,8,1.91,3,1,NA,1
"68",93770,2,2,1,2,2,2,1,2,2,3,0.8,1,2,1,3
"69",93771,1,2,2,2,2,2,2,2,2,7,0.92,1,2,3,1
"70",93772,2,2,1,2,2,2,2,2,2,2,0.7,1,2,1,4
"71",93773,1,2,1,2,2,2,2,2,1,3,0.87,1,2,1,1
"72",93774,1,2,2,2,2,2,2,2,2,10,3.53,3,1,NA,1
"73",93775,1,1,2,2,2,2,2,2,2,6,2.49,3,2,1,1
"74",93776,1,2,1,2,2,1,2,2,1,12,5,3,2,1,1
"75",93777,1,2,2,2,1,2,2,1,2,6,2.49,3,1,NA,1
"76",93778,1,2,1,2,2,2,2,2,2,12,5,3,1,NA,1
"77",93779,1,2,2,2,2,2,2,2,2,9,1.82,2,2,1,1
"78",93780,1,2,2,2,2,2,2,2,1,6,1.27,1,2,2,1
"79",93781,1,2,2,2,2,2,2,2,2,4,1.48,2,2,1,1
"80",93782,1,2,2,2,2,2,2,2,2,9,2.94,3,2,1,1
"81",93783,2,2,2,2,2,2,2,2,2,3,0.41,1,2,99,1
"82",93784,1,2,1,2,2,2,2,2,2,6,1.03,1,2,1,1
"83",93785,2,2,1,2,1,2,2,1,2,8,4.46,3,1,NA,1
"84",93786,1,2,2,2,2,2,2,2,2,3,0.59,1,2,1,1
"85",93787,1,2,1,2,2,2,2,2,2,3,0.39,1,1,NA,3
"86",93788,1,2,1,2,2,2,2,2,2,7,3.58,3,1,NA,1
"87",93789,1,2,2,2,2,2,2,1,2,11,5,3,1,NA,1
"88",93790,1,1,2,2,2,2,2,1,1,11,3.06,3,1,NA,2
"89",93791,1,2,2,1,2,2,2,2,1,9,2.94,3,2,3,1
"90",93792,2,2,2,2,2,2,2,2,2,1,0,1,2,1,9
"91",93793,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"92",93794,1,2,2,2,2,2,2,2,2,11,4.04,3,1,NA,1
"93",93795,1,2,2,2,2,2,2,2,2,8,1.67,2,2,1,2
"94",93796,2,2,1,2,2,2,2,2,2,4,1.44,2,2,1,1
"95",93797,1,1,2,2,2,2,2,1,2,11,5,3,1,NA,1
"96",93798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",93799,1,2,2,2,2,2,2,2,1,10,4.06,3,1,NA,1
"98",93800,2,2,1,2,2,2,2,1,2,7,2.97,3,1,NA,1
"99",93801,1,2,2,2,2,2,2,2,2,10,4.43,3,2,1,1
"100",93802,2,2,2,2,2,2,2,2,2,2,0.35,1,2,1,2
"101",93803,1,2,2,2,1,2,1,2,2,9,1.82,2,2,1,1
"102",93804,1,2,2,2,2,2,2,1,2,5,0.96,1,2,1,1
"103",93805,2,2,1,2,2,2,2,1,2,11,5,3,1,NA,1
"104",93806,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"105",93807,1,2,2,2,2,2,2,2,2,12,4.3,3,2,1,1
"106",93808,1,1,2,2,2,2,2,1,1,12,3.26,3,1,NA,1
