"","Data.File.Name","Data.File.Description"
"1","BPX_J","Blood Pressure"
"2","BMX_J","Body Measures"
"3","OHXDEN_J","Oral Health - Dentition"
"4","OHXREF_J","Oral Health - Recommendation of Care"
"5","DXXFEM_J","Dual-Energy X-ray Absorptiometry - Femur"
"6","DXX_J","Dual-Energy X-ray Absorptiometry - Whole Body"
"7","DXXSPN_J","Dual-Energy X-ray Absorptiometry - Spine"
"8","LUX_J","Liver Ultrasound Transient Elastography"
"9","DXXAG_J","Dual-Energy X-ray Absorptiometry - Android/Gynoid Measurements"
"10","BPXO_J","Blood Pressure - Oscillometric Measurements"
"11","AUX_J","Audiometry"
"12","AUXAR_J","Audiometry - Acoustic Reflex"
"13","AUXTYM_J","Audiometry - Tympanometry"
"14","AUXWBR_J","Audiometry - Wideband Reflectance"
